CódigoMedio,PropiedadLegal,FollowersFinAño
24HorasTVN,Estado Chileno,3286603
TVN,Estado Chileno,2910624
T13,Grupo Canal 13,2869408
CNNChile,Time Warner,2814705
biobio,BIO-BIO comunicaciones,2756031
Cooperativa,Compañía Chilena de Comunicaciones,2638045
canal13,Grupo Luksic,2089537
latercera,Grupo Copesa,1849215
Emol,El Mercurio S.A.P.,1805524
adnradiochile,Ibero Americana Radio Chile,1660965
thecliniccl,Ediciones y Publicaciones Bobby S.A. ,1637257
elmostrador,La Plaza S.A.,1533717
chilevision ,Time Warner,1264464
terraChile,Terra Networks Chile S.A.,1190512
Mega,Bethia,1016622
ahoranoticiasAN,Bethia,1012851
ciper,Fundacion CIPER- Grupo Copesa,902201
PublimetroChile,Metro International,876749
lacuarta,Grupo Copesa,763174
deportes13cl,Grupo Luksic,610516
La_Segunda,El Mercurio S.A.P.,563406
LaRedTV,Albavisión (MX),531088
el_dinamo,Ediciones Giro País SpA,418425
chvdeportes,Time Warner,351803
nacioncl,Empresa Periodistica La Nación S.A.,318346
revistaQP,Grupo Copesa,298495
DiarioLaHora,Grupo Copesa,296059
El_Ciudadano,Sociedad Periodística El Ciudadano,277703
CadenaChile,Vocación-Comunitaria,277201
ElGraficoChile,Metro International,268826
difamadores,Eduardo Mardones,248538
biobiodeportes,Grupo Mochiatti,235075
Emol_Deportes,El Mercurio S.A.P.,220974
LaSerenaOnline,La Serena Online,212759
soychilecl,El Mercurio S.A.P.,208424
Dfinanciero,Grupo Claro,133828
elquintopoder,Fundacion Democracia y Desarrollo,130323
mercuriovalpo,El Mercurio S.A.P,129761
tvn_deportes,Estado Chileno,128555
GlamoramaCL,Grupo Copesa,121128
eldia_cl,Diario ELDIA,106078
ElPeriscopioCL,Trayectos Agencia de Comunicaciones Ltda,105532
elobservatodo,Grupo Mi Voz Red de Diarios Ciudadanos,99838
laterceracom,Grupo Copesa,96775
elsurcl ,Diario El Sur S.A,95662
uchileradio,Universidad de Chile,94999
soyconcepcion,El Mercurio S.A.P,94205
RadioPudahuel,Ibero Americana Radio Chile,88523
biobiotv,Grupo Mosciatti,88475
soyvalparaiso,El Mercurio S.A.P,84203
AustralTemuco,El Mercurio S.A.P,83479
hoyxhoycl,El Mercurio S.A.P.,83193
RadioDuna,Grupo Copesa,82363
radiozero977,Grupo Copesa,80399
revistacapital,Grupo Claro,80101
rvfradiopopular,Centro Cultural de Comunicación y Educación Radiofónica ''Chasqui'',79900
chv_noticias,Time Warner,77309
eldesconcierto,Ediciones y Publicaciones El Buen Aire S.A.,74403
estadonacional ,Estado Chileno,68410
EmolTV,El Mercurio S.A.P.,67772
RADIOPALOMAFM,Núcleo de emisoras Paloma,67531
RedMiVoz,Grupo Mi Voz Red de Diarios Ciudadanos,67071
AgriculturaFM,Sociedad Nacional de Agricultura,65861
pulso_tw,Grupo Copesa,64516
Estrategiacl,Editorial Gestion,61664
laestrellavalpo,El Mercurio S.A.P,61280
TVChileTVN,Estado Chileno,55816
FMConquistador,Comunicaciones C Y V S A ,55301
prensaopal ,opal press,53500
RevistaCosas,Editorial Tiempo Presente Ltda.,52971
elliberocl,Sociedad Periodistica El Libero S.A.,50472
Ferplei,Betazeta Networks S.A.,49410
EYN_ELMERCURIO,El Mercurio S.A.P.,45979
araucanianews,Araucanía Noticias,45341
Araucaniatv,AraucaníaTV,45230
RedMaule,Merelec SpA ,44830
radiolaclave,Miguel Nasur,42733
MauleNoticias,N.E,41294
ElPeriodista,El Periodista S.A,40308
RedBiobio,Merelec SpA ,38855
diarioelcentro,Empresa Periodística El Centro S.A.,38676
ASChile ,Grupo Prisa España,37956
ucv_tv,Pontificia Universidad Católica de Valparaiso,36488
MQLTV,Producciones y Asesorías Gou Infotaiment Limitada,35153
maulee,Red de medios de comunicación digital Portales Regionales,34703
ladiscusioncl,La Discusión SA,34062
RadioNuble,Sociedad de Inversiones Vaccaro Collao e Hijos Ltda.,33040
mercurioafta,El Mercurio S.A.P,32817
vlanoticia,Vivimos la noticia,32516
elrancaguino,Inversiones y Publicaciones Comunidades Ciudadanas S. A.,32375
Diarioconce,UdeC - Grupo Copesa,31910
soyarica,El Mercurio S.A.P,31905
ellanquihue,El Mercurio S.A.P. ,31138
elmartutino,Grupo Mi Voz Red de Diarios Ciudadanos,30291
CronicaChillan,Diario El Sur S.A.,29925
laestrellaiqq,El Mercurio S.A.P.,28825
pinguinodiario,Patagonica Publicaciones S.A.,27526
radiosantamaria,Red de Emisoras Madripo,26697
cronicacurico,Sociedad periodistica Crónica noticias SPA,26394
elnortero,Grupo Mi Voz Red de Diarios Ciudadanos,26079
AconcaguaNews,Aconcagua News,25939
soyantofagasta ,El Mercurio S.A.P,25765
soytemuco,El Mercurio S.A.P.,25460
Mapuexpress,Colectivo de Comunicacion Mapuche Mapuexpress,25253
eltipografo,El Tipógrafo SPA,25159
eo_enlinea,Empresa Periodística El Observador Ltda,25099
austral_osorno,El Mercurio S.A.P,24627
Azkintuwe,"Pedro Cayuqueo, Enama",24625
TVNRedMaule,Estado Chileno,24405
estrellaconce,El Mercurio S.A.P.,24097
eldefinido,El Definido,23590
msncl,Microsoft Corporation. ,23353
TVU_television ,Holding Octava Comunicaciones S.A.,22604
tvmaulinos,Tv maulinos,21995
Red_OHiggins,Merelec SpA ,21526
LaTerceraTV,Grupo Copesa,21373
diarioafta,Consorcio Periodístico El Norte SpA,20984
RadioSago,Sociedad Agrícola y Ganadera de Osorno,20928
soyiquique,El Mercurio S.A.P,20612
ChillanOnline,Chillan Noticias,20581
Diario_Pyme,Metro International,20569
radiochiloe,Velásquez Hnos. y Cía. Ltda.,20435
chiloealdia,Chiloe Al día,20398
chillanactivo,Chillan Activo,20158
Clave9cl,Clave9,20120
emol_magazine,El Mercurio S.A.P.,19538
laotravoz,Empresa Periodística La Nación S.A.,19422
RadioPolar,Organización Comercial Radio Polar Ltda.,19411
austral_losrios,El Mercurio S.A.P,19382
elrancahuaso,Grupo Mi Voz Red de Diarios Ciudadanos,19298
ElSembrador1047,Obispado de Chillan,18480
Elperiodicocl,El Periodico,18422
Osornonews,N.E,18272
tentos,Elyon Comunicaciones,18250
LaPrensAustral,Empresa de Publicaciones La Prensa Austral S.A.,18098
cambio21cl,Sociedad Periodística Cambio S.A.,17593
radiocondell,Benjamín González,17486
estrellachiloe,El Mercurio S.A.P.,17152
soypuertomontt,El Mercurio S.A.P,17076
elmorrocotudo,Grupo Mi Voz Red de Diarios Ciudadanos,17008
LaProvinciaCL,N.E,16572
soyosorno,El Mercurio S.A.P,16490
NUBLEONLINE_,N.E.,16478
EnLineaMaule,En linea maule,16320
red_coquimbo,Merelec SpA ,16225
sitiocero,Comunidad Sitio Cero,16096
rioenlinea,Rioenlinea,16029
RNuevoMundo,Compañía de Radio y TV Nuevo Mundo S.A,15860
RedValparaiso,Merelec SpA ,15649
elepicentro,Consorcio Periodístico El Epicentro S.A,15595
RedAraucania,Merelec SpA ,15559
diarioatacama,El Mercurio S.A.P,15432
RedAntofagasta,Merelec SpA ,15165
ElBoyaldia,Grupo Mi Voz Red de Diarios Ciudadanos,14868
elrepuertero,Grupo Mi Voz Red de Diarios Ciudadanos,14749
RadioEstacion1,Estación 1,14717
soychiloe,El Mercurio S.A.P,14693
estrella_antofa,El Mercurio S.A.P.,14297
palabranoticia,Ibero Americana Radio Chile,14230
elsoldeiquique,El sol de Iquique,14104
soyvaldiviacl,El Mercurio S.A.P.,13903
el_vacanudo,Grupo Mi Voz Red de Diarios Ciudadanos,13862
soychillan,El Mercurio S.A.P,13667
elconcecuente,Grupo Mi Voz Red de Diarios Ciudadanos,13639
IquiqueRadioCL,Iquique Radio,13533
laprensacurico,Empresa Periodística Curicó Ltda.,13507
elnaveghable,Grupo Mi Voz Red de Diarios Ciudadanos,12863
talcanoticias,N.E,12756
chanarcillo,Chañarcillo,12145
elovallino ,Merelec SpA ,12085
PrensaChiloe,Prensa Chiloe,11846
soysanantonio,El Mercurio S.A.P,11733
elaconcagua,El Aconcagua,11529
lidersanantonio,El Mercurio S.A.P,11429
el_serenense,Red de Diarios Comunales Sociedad Limitada,11354
laopinon,Inversiones y Publicaciones Comunidades Ciudadanas S.A.,10722
latribunacl,Empresa Periodística Bío-Bío Ltda.,10548
redloslagos,Merelec SpA ,10470
fundacionREM,Fundación Radio Estrella del Mar,10244
radioquellon ,Radio Quellon,10113
InetTvDigital ,Inet TV,10038
ITVnoticias,ITV Patagonia Ltda.,9624
soycalama,El Mercurio S.A.P,9621
ELCLARINDECHILE,Fundación Presidente Allende,9595
DiarioPenquista,Penquista,9550
Diarioenaccion ,Diario en Acción,9547
diarioelcoqbano,Red de Diarios Comunales Sociedad Limitada,9432
soycopiapo,El Mercurio S.A.P,9255
rsumen,Resumen,9061
DigitalFMChile,El Mercurio S.A.P.,8823
elmagallanews,Grupo Mi Voz Red de Diarios Ciudadanos,8136
PutaendoInforma,Putaendo Informa,8031
DiarioOvalleHoy,SOCIEDAD PERIODÍSTICA BANIC Y LANCELLOTTI LTDA,7834
ddivisadero,El Divisadero,7757
redatacama,Merelec SpA ,7574
RedlosRios,Merelec SpA ,7546
soyquillota,El Mercurio S.A.P,7377
NorteMinero_CL,El Mercurio S.A.P.,7309
elsiglochile,Partido Comunista de Chile,7024
TVCONTIVISION,Medios de Television Contivision Limitada,6868
EstrelladeArica,El Mercurio S.A.P.,6617
radiomaxima_fm,Radio Máxima,6424
diarioeltrabajo,El Trabajo,6108
VozdelaCosta ,Obispado Osorno?,6054
elranco,El Ranco,5560
AQUASocial,Grupo Editorial Editec,5373
AtacamaNoticias,OPEN GROUP COMUNICACIONES LTDA.,5116
VTVCanal2,Sociedad de Comunicaciones Salto del Soldado Ltda,5079
verdadahoracl,Verdad Ahora,5048
Elquiglobal,CEPT Comunicaciones,4955
soytalcahuano,El Mercurio S.A.P,4933
elqhaydecierto,Grupo Mi Voz Red de Diarios Ciudadanos,4898
agenciaunochile,Agencia Uno,4825
osornotvmas,Ilustre municipalidad de Osorno,4811
pdteIbanez,Francisco Pérez,4576
DigitalFmAntofa,El Mercurio S.A.P,4457
radiopudeto,Sociedad de Radio y Publicidad San Antonio Ltda.,4419
Publimetro_TV,Metro International,4414
Pagina7Chile,Biobio Comunicaciones,4340
soyarauco,El Mercurio S.A.P,4313
dichatoaldia,Dichato al Dia,4158
NatalesOnLine,NOL Periodico,4102
soysancarlos,El Mercurio S.A.P,4040
girovisualtv,Giro visual,3960
carta_abierta,Carta Abierta,3905
InforiosCL,Noticias Los Rios,3870
radioptonatales,Sociedad sonido sur,3702
Estrella_Toco,El Mercurio S.A.P.,3638
estrella_loa,El Mercurio S.A.P.,3544
soycoronel,El Mercurio S.A.P,3418
verticetv,Vértice Comunicaciones,3328
RedArica,Merelec SpA ,3327
redcomunales,Red de Diarios Comunales,3208
ElChelenko,El Chelenko Comunicaciones,3188
cauquenesnet,Cauquenes NET,3177
soytome,El Mercurio S.A.P,3156
elandacollino,Red de Diarios Comunales Sociedad Limitada,3115
lavozdemaipu,La Voz de Maipú,2989
elamaule,Grupo Mi Voz Red de Diarios Ciudadanos,2949
cysradio,Sociedad Coronado y Sierpe LTDA.,2800
